Area,Feature_or_Condition,Status,Primary_Evidence,Next_Action,Priority,Last_Updated
ATO,Breach trigger at sell strike with optional entry buffer (default 0),CODED,"modules/ato_protection.py; bat_telegram/bots/kavach/bot.py; simulator/app.py; CONTEXT.md",Validate buffered trigger cases in simulator and live cycle checks,High,2026-05-15
ATO,Retrace-based ATO exit logic,CODED,modules/ato_protection.py,Validate in simulator full cycle,High,2026-05-02
ATO,Startup scan and stale-state cleanup,CODED,modules/ato_protection.py,Live smoke validation on VPS,High,2026-05-02
ATO,Side gating (PE only/CE only/both),CODED,"modules/ato_protection.py; telegram/bots/kavach/bot.py",Validate all 3 modes in simulator,High,2026-05-02
ATO,Side-wise ATO trigger buffer (entry) plus side-wise retrace points (exit) with conditional messaging,CODED,"bat_telegram/bots/kavach/bot.py; modules/ato_protection.py; core/state.py; simulator/app.py",Run CE-only/PE-only/Both simulations and verify trigger and retrace paths,High,2026-05-15
ATO,ATO telemetry plus consolidated cycle ledger to Excel-safe snapshots with buy/sell timestamps and points-lost totals,CODED,"modules/ato_protection.py; data/analytics/ato_execution_telemetry.csv; data/analytics/ato/ato_trade_ledger.csv; simulator/app.py; simulator/market.html",Validate VPS snapshot generation and open-copy workflow under file-lock scenarios,High,2026-05-15
KAVACH,7-step register wizard with working-day holiday review,CODED,telegram/bots/kavach/bot.py,Add structural condor validation rule,High,2026-05-03
KAVACH,Trading command set,CODED,telegram/bots/kavach/bot.py,Run complete command checklist in simulator,High,2026-05-02
KAVACH,Token freshness gate before register,CODED,telegram/bots/kavach/bot.py,Keep rule aligned with DRISHTI token status,High,2026-05-02
KAVACH,Batman complete flow (archive plus cleanup UX),CODED,telegram/bots/kavach/bot.py,Validate archive failure path behavior,High,2026-05-02
KAVACH,Break-even confirm/edit/skip extension,DESIGN_LOCKED_NOT_CODED,DESIGN.md,Add wizard steps plus persistence keys,Medium,2026-05-02
DRISHTI,Token receipt and persistence,CODED,"telegram/bots/drishti/bot.py; core/token_store.py",Live token rotation test,High,2026-05-02
DRISHTI,Broker hot-reload token without restart,CODED,"telegram/bots/drishti/bot.py; core/broker.py",Run repeated hot-reload stress test,High,2026-05-02
DRISHTI,Scheduled token reminders and interactive update flow,CODED,telegram/bots/drishti/bot.py,Verify all reminder windows in simulator clock,Medium,2026-05-02
DRISHTI,Health and status commands,CODED,telegram/bots/drishti/bot.py,Expand health checks with balance probe,Medium,2026-05-02
DRISHTI,Fleet health dashboard for bots/modules (interactive selection plus tabular state and schedule timestamps),DESIGN_LOCKED_NOT_CODED,"telegram/design/drishti_design.md; DESIGN.md",Implement fleet_status flow and runtime state readers,High,2026-05-02
Governance,SANCHALAK global control bot or control-plane supervisor for downstream bot authorization and unattended execution,OPS_VALIDATION_PENDING,"bat_telegram/bots/sanchalak/bot.py; bat_telegram/control.py; main.py; simulator/app.py; simulator/index.html; telegram/bots/sanchalak/params.json",Live-validate start_all stop_all pause_bot resume_bot set_mode status_all including overlapping-confirm rejection and paused-bot read-only behavior,High,2026-05-17
Governance,Active bot scope lock (DRISHTI/KAVACH/JAGRAN/SANCHALAK/SARANSH only),CODED,"CONTEXT.md; IMPLEMENTATION_TRACKER.md",Keep LAKSHMI PRABHAT MUKTI and RATRIPAL out of active work until explicitly resumed,High,2026-05-17
Governance,Telegram config mapping templates for SANCHALAK and SARANSH (token plus params plus loader registration),CODED,"telegram/loader.py; telegram/bots/sanchalak/token.env.example; telegram/bots/sanchalak/params.json; telegram/bots/saransh/token.env.example; telegram/bots/saransh/params.json",Fill token.env files with real bot tokens and chat IDs before runtime enablement,High,2026-05-03
Governance,Technical change-routing index and function ownership lookup plus reusable Telegram bot scaffold template,CODED,"reference/TECHNICAL_CHANGE_INDEX.md; reference/FUNCTION_OWNERSHIP_INDEX.md; telegram/bots/_template/README.md; telegram/bots/_template/token.env.example; telegram/bots/_template/params.json; telegram/bots/_template/config.json",Use function index first then routing index and clone template for future bot additions,High,2026-05-03
Governance,Generic design-to-code reference framework (templates and registers and handoff checklist),CODED,"reference/REFERENCE_SYSTEM.md; reference/FEATURE_REFERENCE.csv; reference/DECISION_REGISTER.md; reference/DISCUSSION_CAPTURE.md; reference/CODING_HANDOFF_CHECKLIST.md",Keep templates updated and add real feature rows each session,High,2026-05-03
Governance,Comprehensive technical implementation playbook (methodology dependencies tooling and replication blueprint),CODED,reference/TECHNICAL_IMPLEMENTATION_PLAYBOOK.md,Keep this playbook synchronized with architecture pivots and validation learnings,High,2026-05-17
Governance,Confidentiality sanitization baseline (no embedded secrets or JWT-like samples in first-party code/docs/examples),CODED,"config/.env.example; testing/mocks/sim_access_token.json; simulator/index.html; telegram/design/architecture.md; telegram/design/batman_simulation.html; telegram/bots/jagran/token.env.example",Keep placeholder-only samples using <ENTER_...> values and rerun secret-pattern scan before sharing repository externally,High,2026-05-18
Reporting,SARANSH summary bot for consolidated PnL plus ATO activity plus execution-impact recap,OPS_VALIDATION_PENDING,"bat_telegram/bots/saransh/bot.py; bat_telegram/control.py; bat_telegram/incident_publisher.py; simulator/app.py; simulator/index.html; telegram/bots/saransh/params.json; main.py",Validate manual summary and summary_eod plus auto-EOD runs confirm paused-state summary blocking and verify JAGRAN alert message includes per-channel success/failure details,High,2026-05-17
LAKSHMI,PnL and MTM/profit/trailing alert logic,CODED,bat_telegram/bots/lakshmi/bot.py,Out of active scope for current phase leave unchanged,Low,2026-05-17
Runtime,Async orchestrator in main process,CODED,main.py,Keep stable during long-running session tests,High,2026-05-02
Runtime,Active runtime scope for current phase (DRISHTI plus KAVACH plus JAGRAN plus SANCHALAK plus SARANSH),OPS_VALIDATION_PENDING,"main.py; bat_telegram/control.py; bat_telegram/loader.py; core/broker.py; simulator/app.py; simulator/index.html",Validate JAGRAN-fatal startup gating broker-level mock blocking and paused-bot read-only behavior in live bot walkthroughs,High,2026-05-17
Incident,JAGRAN critical incident routing (dual publish source plus JAGRAN, selective immediate-action only),CODED_NOT_INTEGRATED,"bat_telegram/incident_publisher.py; bat_telegram/bots/drishti/bot.py; bat_telegram/bots/kavach/bot.py; main.py; telegram/bots/jagran/params.json",Validate fatal startup when telegram/bots/jagran/token.env is missing and confirm routed incidents plus recoveries reach JAGRAN once configured,High,2026-05-17
Incident,Standardized high-priority error template (part plus timestamp plus error message),CODED,bat_telegram/incident_publisher.py,Keep shared formatter aligned with future source additions,High,2026-05-15
Incident,Per-source JAGRAN scenario allowlists (DRISHTI/KAVACH/MAIN/SARANSH seeded; RATRIPAL/PRABHAT MUKTI deferred),PENDING_DESIGN,"bat_telegram/incident_publisher.py; DESIGN.md; telegram/design/architecture.md; JAGRAN_ERROR_MATRIX.md",Continue broad verbose reporting with websocket escalation retry >= 5 and SARANSH summary delivery failure routing while refining critical/warning/info staging,High,2026-05-17
Incident,Dedicated JAGRAN error matrix artifacts (MD plus CSV),CODED,"JAGRAN_ERROR_MATRIX.md; JAGRAN_ERROR_MATRIX.csv",Keep source-wise scenario lists updated as design evolves,High,2026-05-03
Incident,Dedup and transition notifications (triggered/still failing/recovered),CODED,bat_telegram/incident_publisher.py,Expand beyond seeded sources once remaining allowlists are finalized,High,2026-05-15
Hedge Lifecycle,RATRIPAL module and flow,OPS_VALIDATION_PENDING,"modules/ratripal.py; bat_telegram/bots/kavach/bot.py; main.py; config/settings.json; core/event_bus.py; core/state.py; tests/test_ratripal.py; telegram/design/hedge_box_design.md; CONTEXT.md",Deferred out of active scope per 2026-05-17; do not continue validation or code changes unless explicitly resumed,Low,2026-05-17
Hedge Lifecycle,PRABHAT MUKTI module and flow,DESIGN_PARTIALLY_LOCKED,"telegram/design/prabhat_mukti_design.md; CONTEXT.md",Deferred out of active scope per 2026-05-17; do not continue design Q&A or coding until explicitly resumed,Low,2026-05-17
Orchestration,Run Readiness Orchestrator,DESIGN_LOCKED_NOT_CODED,DESIGN.md,Implement run checks plus gate release events,Medium,2026-05-02
Orchestration,Completion Orchestrator event contracts,DESIGN_LOCKED_NOT_CODED,DESIGN.md,Align existing batman_complete with event model,Medium,2026-05-02
Deployment UX,Flexible deployment via Telegram,PENDING_DESIGN,DESIGN.md,Finalize design before coding,Medium,2026-05-02
